Carimbo de data/hora;NOME, APELIDO, OU NÚMERO (PARA CONTROLE INTERNO);1-	QUAL A SUA IDADE?;2-	QUAL O SEU SEXO?;3-	QUAL A SUA CIDADE E ESTADO?;4-	QUAL A SUA ESCOLARIDADE?;5-	QUAL A SUA PROFISSÃO/OCUPAÇÃO?;6-	VOCÊ PENSA NA FOFOCA COMO UMA COISA: ;7-	QUANDO A FOFOCA É A SEU RESPEITO, VOCÊ ACHA ISSO:;8-	PARA VOCÊ, O QUE É A FOFOCA? (ESCREVA UMA DEFINIÇÃO) ;9-    É POSSÍVEL VIVER SEM FOFOCAR?;10-	VOCÊ FOFOCA: ;11- PARA VOCÊ O QUE É UM(A) FOFOQUEIRO(A)?;12-	VOCÊ SE ACHA FOFOQUEIRO(A)?;13-	VOCÊ ACHA QUE (MORALMENTE) SER FOFOQUEIRO É:;14 - QUEM VOCÊ ACHA QUE FOFOCA MAIS?;15 - EM QUAL IDADE SE FOFOCA MAIS ? (marque no máximo 2);16-	VOCÊ CONHECE PESSOALMENTE UMA PESSOA FOFOQUEIRA?;17- VOCÊ ACHA QUE O QUE SE FALA NA FOFOCA É SEMPRE NEGATIVO?;18-	QUAIS TEMAS VOCÊ ACHA MAIS FREQUENTES NA FOFOCA? (MARQUE TODAS QUE SE APLICAM);19-	QUE TEMA(S) TE INTERESSA(M) MAIS EM UMA FOFOCA?;20- VOCÊ JÁ APRENDEU ALGO QUE PUDESSE USAR PARA A SUA VIDA NUMA FOFOCA? SE SIM, O QUÊ?;21-	VOCÊ CONHECE ALGUM CASO INTERESSANTE DE FOFOCA? GOSTARIA DE CONTÁ-LO RESUMIDAMENTE? (não precisa dar nomes);22-	O QUE VOCÊ ACHA QUE NÃO É ASSUNTO DE FOFOCA?OU O QUE NÃO É FOFOCA?;23-	ONDE AS PESSOAS FOFOCAM MAIS (em que lugares ou situações)?;24- MARQUE AS OPÇÕES QUE VOCÊ ACHA RELACIONADAS À FOFOCA: (quantas quiser);25-	VOCÊ CONHECE ALGUMA FOFOCA QUE AJUDOU ALGUÉM?;26-	VOCÊ CONHECE ALGUMA FOFOCA QUE PREJUDICOU ALGUÉM? ;27-	VOCÊ JÁ FOI PREJUDICADO(A) POR UMA FOFOCA NEGATIVA? ;28- VOCÊ JÁ PREJUDICOU ALGUÉM COM UMA FOFOCA NEGATIVA?;29- O QUE VOCÊ SENTE QUANDO FAZ (CONTA) UMA FOFOCA?;30- O QUE VOCÊ SENTE QUANDO OUVE UMA FOFOCA?;31-	O QUE VOCÊ FAZ OU SENTE QUANDO CHEGA ATÉ VOCÊ FOFOCA SOBRE UMA PESSOA QUE É SUA AMIGA OU PARENTE QUERIDO?;32- VOCÊ ACHA QUE TAMBÉM SE PODE FOFOCAR POR ESCRITO OU PELA INTERNET? SE SIM, COMO ACHA QUE MAIS SE FOFOCA HOJE EM DIA (PELA FALA PRESENCIAL OU PELA INTERNET)?;33-	 CONHECE ALGUM TERMO DIFERENTE, CURIOSO OU REGIONAL PARA DIZER “FOFOCA” OU “FOFOQUEIRO” QUE NÃO TENHA SIDO MENCIONADO AQUI? SE SIM, QUAL (QUAIS)?
11/9/2019 16:32:47;001;19;FEMININO;SAQUAREMA  - RJ;ENSINO SUPERIOR;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;FOFOCA É ESPECULAR SOBRE DETERMINADO ACONTECIMENTO SEM TER CERTEZA SOBRE O FATO. PODE SER INFLUENCIADO PELO INTERLOCUTOR, MAS NÃO NECESSARIAMENTE É ALGO FEITO DE MÁ FÉ.;NÃO;MEDIANAMENTE;UMA PESSOA QUE SE INTERESSA PELA VIDA ALHEIA, TENDO COMO ENTRETENIMENTO ESPECULAR SOBRE OS FATOS, FORMANDO TEORIAS E COMPARTILHANDO COM OS OUTROS.;NÃO;NORMAL;HOMENS;IDOSOS;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS;TRAIÇÃO, COISAS POLÊMICAS;NÃO;NÃO;SAÚDE E CASOS DE DOENÇA;QUANDO NÃO TÊM O QUE FAZER, MAS NORMALMENTE PELA INTERNET.;BOATO, DISCRIÇÃO, IMPLICÂNCIA, SEGREDO, CONFUSÃO, TRAIÇÃO, CURIOSIDADE, AMIZADE, INIMIZADE, DIVERSÃO, FUXICO, CONVERSA, ZOAÇÃO, COXIXO;SIM;SIM;NÃO;NÃO;NORMAL;NORMAL;DEPENDE SE FOR BOM OU RUIM O ASSUNTO;SIM;NÃO
11/9/2019 16:42:04;002;19;FEMININO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;É QUANDO UM GRANDE NÚMERO DE PESSOAS FALA SOBRE CERTO ASSUNTO E NÃO NECESSARIAMENTE COM O CONHECIMENTO OU COM A PERMISSÃO DA PESSOA SOBRE A QUAL SE FALA. É UMA PRÁTICA NOCIVA POIS NÃO NECESSARIAMENTE OS FATOS SÃO VERÍDICOS;NÃO SEI;MEDIANAMENTE;UMA PESSOA QUE PROCURA SABER SOBRE A VIDA DAS POESSOAS COM DETALHES, ATRAVÉS DA OBSERVAÇÃO, SEM NECESSARIAMENTE QUE O ALVO SAIBA. E ALÉM DISSO, AINDA ESPALHA AS INFORMAÇÕES PRIVADAS DA PESSOA, TENDENDO A AUMENTAR OU DIMINUIR OS FATOS. ;NÃO;RUIM;DEPENDE DA SITUAÇÃO;ADOLESCENTES, IDOSOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;VIDA DE PESSOAS PÚBLICAS, TABUS, ASSUNTOS POLÊMICOS;ACHO QUE NÃO.;"O CASO DA TRAIÇÃO DA DÉBORA NASCIMENTO PELO JOSÉ LORETO, EM QUE MARINA RUI BARBOSA FOI ATACADA COMO SENDO O ""PIVÔ"" ";ACHO QUE TUDO PODE SER ALVO DE FOFOCAS, MESMO QUANDO NÃO DEVERIA SER, COMO NO CASO DE DOENÇAS OU MORTE.;"NA INTERNET; ENTRE OS AMIGOS; COM A FAMÍLIA";MENTIRA, BOATO, IMPLICÂNCIA, VINGANÇA, SEGREDO, CONFUSÃO, AFRONTA, TRAIÇÃO, CURIOSIDADE, SUSSURRO, CONSPIRAÇÃO, INIMIZADE, COMPETIÇÃO, ESCONDIDO, MALÍCIA, BASTIDORES, INSINUAÇÃO, MALDADE, DIVERSÃO, FAKE NEWS, FUXICO, MANIPULAÇÃO, COXIXO;SIM;SIM;NÃO;NÃO;ALEGRIA POR COMPARTILHAR ALGO QUE EU SEI, ALÍVIO;DEPENDE, SE FOR RUIM, ME SINTO MAL EM SABER. SE FOR BOA, ME SINTO BEM, COM A CIURIOSIDADE SATISFEITA. ;CONTO PARA A PESSOA O QUE ESTÃO FALANDO SOBRE ELA.;SIM, INTERNET;SIM, MEXERICO
11/9/2019 16:56:22;003;19;MASCULINO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;INFORMAÇÃO TRANSMITIDA DE FORMA INDEPENDENTE DA VONTADE DE SEU ALVO , ATINGINDO UM AMPLO PÚBLICO.;NÃO SEI;MEDIANAMENTE;UM INDIVÍDUO QUE BUSCA AS FOFOCAS EM SEU COTIDIANO, INDEPENDENTE DE ASSUNTO OU ALVO.;NÃO;RUIM;DEPENDE DA SITUAÇÃO;ADOLESCENTES, IDOSOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS;A VIDA DE PESSOAS PÚBLICAS, COMO PESSOAS FAMOSAS E POLÍTICOS.;NÃO;NÃO;INFORMAÇÕES QUE AFETEM MORAL OU PRIVACIDADE DE SEU ALVO, DE MODO A PREJUDICAR O INDIVÍDUO. ;"EM AMBIENTES PÚBLICOS, COMO FESTAS;BEM COMO VIA REDES SOCIAIS.";BOATO, INVEJA, IMPLICÂNCIA, VINGANÇA, SEGREDO, AFRONTA, INTIMIDADE, TRAIÇÃO, SUSSURRO, AMIZADE, INIMIZADE, TAGARELA, INSINUAÇÃO, MALDADE, FAKE NEWS, FUXICO, OCULTAÇÃO, COXIXO;NÃO;SIM;NÃO;NÃO;PRAZER E VERGONHA;CURIOSIDADE;RAIVA E DOR;SIM, INTERNET;NÃO
11/9/2019 17:10:16;004;28;MASCULINO;SÃO GONÇALO - RJ;PÓS-GRADUAÇÃO - MESTRADO;PROFESSOR;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;TRANSMISSÃO DE INFORMAÇÃO SOBRE ALGUÉM SEM A ANTERIOR ANUÊNCIA DESTE E SEM SEU CONHECIMENTO A RESPEITO. ;NÃO;NADA;ALGUÉM QUE SE OCUPA NÃO SÓ DE SABER SOBRE A VIDA ALHEIA , MAS DE COMUNICAR AOS DEMAIS O QUE SABE. ;NÃO;NORMAL;ACHO QUE  TODOS FOFOCAM IGUAL;ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS;NENHUM;NÃO;NÃO;NÃO SEI;ACHO INVARIÁVEL, EM GERAL, SITUAÇÕES INFORMAIS, DE CONFIANÇA. ;BOATO, DISCRIÇÃO, IMPLICÂNCIA, SEGREDO, IRONIA, COMPADRIO, CURIOSIDADE, DETRAÇÃO, CUMPLICIDADE, AMIZADE, INIMIZADE, ESCONDIDO, TAGARELA, BASTIDORES, INSINUAÇÃO, DIVERSÃO, INFORMAÇÃO, FUXICO, CONVERSA, OCULTAÇÃO;NÃO;SIM;NÃO;NÃO;NORMAL;NORMAL;IGNORO;SIM, FALA PRESENCIAL;SIM, X-9,  CAGÜETA.
11/9/2019 17:24:08;005;19;MASCULINO;NITERÓI - RJ;ENSINO MÉDIO;PROFESSOR;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;FOFOCA É A DISSEMINAÇÃO DE INFORMAÇÕES SOBRE A VIDA ALHEIA. INFORMAÇÕES QUE NÃO INTERFEREM NA VIDA DE QUEM ESTÁ DISSEMINANDO.;NÃO;MEDIANAMENTE;É UMA PESSOA QUE FALA DA VIDA DOS OUTROS APESAR DISSO NÃO LHE CAUSAR NENHUM BENEFÍCIO OU PREJUÍZO. ;SIM;NORMAL;MULHERES;IDOSOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, NOTÍCIAS VARIADAS, BOATOS, MENTIRAS;NENHUM;SIM, APRENDI QUE NÃO PODIA CONFIAR EM VÁRIAS PESSOAS.;NÃO;DISCUTIR POLÍTICA. A VIDA PRIVADA DE POLÍTICOS;QUANDO FICAM MUITO TEMPO JUNTAS E JÁ TERMINARAM DE FALAR DE SUAS PRÓPRIAS VIDAS.;BOATO, IMPLICÂNCIA, VINGANÇA, SEGREDO, CONFUSÃO, INTIMIDADE, TRAIÇÃO, CURIOSIDADE, CONTROLE, TAGARELA, BASTIDORES, NOVIDADE, MALDADE, DIVERSÃO, INFORMAÇÃO, FUXICO, ZOAÇÃO;SIM;SIM;NÃO;NÃO;SATISFAÇÃO;INTERESSE;SINTO INCÔMODO;INTERNET;NÃO
11/9/2019 17:35:02;006;19;MASCULINO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;MEXERICO, CONVERSAR SOBRE O QUE NÃO LHE DIZEM RESPEITO. ;NÃO;MEDIANAMENTE;ALGUÉM DEDICADO A BISBILHOTAR, MEXERICAR EXCESSIVAMENTE E QUE NÃO FAZ NADA DA VIDA. ;NÃO;NORMAL;DEPENDE DA SITUAÇÃO;ADOLESCENTES;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, NOTÍCIAS VARIADAS, BOATOS, MENTIRAS;A VIDA DE CONHECIDOS;SIM, O QUE FAZER, O QUE PODE DAR ERRADO DE ACORDO COM AS EXPERIÊNCIAS DE OUTROS.;NÃO;JULGAMENTOS MORAIS;EM FESTAS, CONVERSAS ENTRE AMIGOS;IMPLICÂNCIA, INTIMIDADE, CURIOSIDADE, SUSSURRO, CONSPIRAÇÃO, CUMPLICIDADE, AMIZADE, INFORMAÇÃO, FAKE NEWS;SIM;SIM;SIM;SIM;INTEGRAÇÃO;CURIOSIDADE;ESCUTO COM ATENÇÃO;SIM, INTERNET;SIM, MEXERICO
11/9/2019 17:40:30;007;20;FEMININO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;....;NÃO;MEDIANAMENTE;....;NÃO;NORMAL;DEPENDE DA SITUAÇÃO;ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, NOTÍCIAS VARIADAS;...;NÃO;NÃO;MENTIRAS;BAR;IMPLICÂNCIA, CONFUSÃO, IRONIA, CURIOSIDADE, BASTIDORES, INSINUAÇÃO, FUXICO, CONVERSA, ZOAÇÃO;SIM;SIM;SIM;NÃO;...;...;DEPENDE DA FOFOCA;SIM;NÃO
11/9/2019 17:43:32;009;19;FEMININO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;NEUTRO/DEPENDE DA SITUAÇÃO;CONTAR FATOS DOS OUTROS PARA TERCEIROS;NÃO;MEDIANAMENTE;QUEM NÃO CONSEGUE GUARDAR SEGREDOS;SIM;NORMAL;ACHO QUE  TODOS FOFOCAM IGUAL;ADOLESCENTES;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;NOVIDADES;NÃO;NÃO;A VIDA PRIVADA DAS PESSOAS;EM GRUPOS PEQUENOS;MENTIRA, BOATO, SEGREDO, CURIOSIDADE, SUSSURRO, COMPETIÇÃO, TAGARELA, FUXICO, CONVERSA, ZOAÇÃO;NÃO;SIM;NÃO;NÃO;NORMAL;NORMAL;MAL;SIM, FALA PRESENCIAL;NÃO
11/9/2019 17:49:18;010;21;FEMININO;RIO DE JANEIRO - RJ;ENSINO SUPERIOR;PROFESSOR;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;É UMA ESPÉCIE DE INFORMAÇÃO SOBRE DETERMINADO GRUPO/PESSOA, COM OU SEM SEU CONSENTIMENTO, OU DAS PARTES ENVOLVIDAS.;NÃO SEI;MUITO;A PESSOA QUE REPASSA INFORMAÇÕES SOBRE DETERMINADA PESSOA OU GRUPO, SM OU COM, INDEPENDENTEMENTE DA AUTORIZAÇÃO.;SIM, MUITO;RUIM;DEPENDE DA SITUAÇÃO;ADOLESCENTES;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;BRIGAS;SIM. APRENDI EM QUEM CONFIAR.;NÃO. NÃO;A VIDA SEXUAL ALHEIA. TEORICAMENTE NÃO SEI DISTINGUIR. ;SITUAÇÕES DE AFINIDADE. tRABALHO/ESCOLA.;MENTIRA, BOATO, INVEJA, IMPLICÂNCIA, VINGANÇA, SEGREDO, IRONIA, AFRONTA, TRAIÇÃO, CURIOSIDADE, CONSPIRAÇÃO, AMIZADE, INIMIZADE, COMPETIÇÃO, ESCONDIDO, CENSURA, TAGARELA, MALÍCIA, BASTIDORES, INSINUAÇÃO, NOVIDADE, MALDADE, INFORMAÇÃO, FAKE NEWS, FUXICO, MANIPULAÇÃO, ZOAÇÃO, COXIXO;SIM;SIM;SIM;SIM;NADA;CURIOSIDADE;SE FOR O CASO, DEPENDE. SINTO-ME ANSIOSA.;SIM, INTERNET;NÃO
11/9/2019 18:18:09;011;22;FEMININO;RIO DE JANEIRO - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;UMA MENTIRA CRIADA COM O OBJETIVO DE PREJUDICAR ALGUÉM.;NÃO SEI;POUCO;ALGUÉM QUE ESTÁ MAIS PREOCUPADO COM A VIDA DAS PESSOAS QUE COM A PRÓPRIA.;NÃO;RUIM;DEPENDE DA SITUAÇÃO;ADULTOS, IDOSOS;SIM, MUITAS;SIM;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;PROBLEMAS NO TRABALHO;NÃO;JÁ FIQUEI SABENDO DE UMA HISTÓRIA A QUAL O FILHO DO PASTOR DA IGREJA QUE EU FREQUENTAVA TEVE UMA RELAÇÃO SEXUAL COM A ATUAL NOMEADA DENTRO DA IGREJA NA ÁREA DO TABERNÁCULO. ;DOENÇA, TRAGÉDIA E PROBLEMAS SÉRIOS DE FAMÍLIA.;FESTA DE FAMÍLIA, ENCONTRO ENTRE AMIGOS, SALÃO DE BELEZA, BARBEIROS E NO TRABALHO.;MENTIRA, BOATO, INVEJA, IMPLICÂNCIA, SEGREDO, CONFUSÃO, IRONIA, AFRONTA, INTIMIDADE, COMPADRIO, TRAIÇÃO, CURIOSIDADE, SUSSURRO, MALDIÇÃO, CONSPIRAÇÃO, DETRAÇÃO, INIMIZADE, COMPETIÇÃO, CONTROLE, ESCONDIDO, CENSURA, TAGARELA, MALÍCIA, INSINUAÇÃO, NOVIDADE, MALDADE, FAKE NEWS, FUXICO, MANIPULAÇÃO, ZOAÇÃO, OCULTAÇÃO, COXIXO;NÃO;SIM;SIM;NÃO;EVITO AO MÁXIMO POIS ME SINTO CULPADA.;DESCONFORTO;REVOLTA, ANGÚSTIA E DESCONFORTO;SIM, INTERNET;SIM, FUTRIQUEIRO, TRICOTEIRA
